student_id,19/20_1,19/20_2,20/21_1,20/21_2,21/22_1,21/22_2,22/23_1,22/23_2,23/24_1,23/24_2,24/25_1,24/25_2
63190099,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63709', '63707', '63708']","['63712', '63715', '63714', '63704']","['63710', '63725', '63726']","['63711', '63248', '63712']","['63744', '63721', '63723']","['63749B', '63768', '63734', '63732', '63713', '63767A']",['63770'],"['63521', '63527']","['63551', '63515']","['63554', '63550', '63521']",
63190100,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63712', '63719', '63720', '63714']","['63725', '63721', '63723', '63765', '63724']","['63711', '63712', '63719', '63720', '63714']","['63765', '63725', '63721']","['63741', '63768', '63740', '63735', '63739', '63732']",['63770'],,['63770'],,
63190101,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63248', '63218', '63283']","['63280', '63216', '63217', '63220']","['63711', '63701', '63705', '63715', '63716', '63717', '63702', '63703', '63704']","['63744', '63722', '63706', '63727', '63721', '63723', '63709', '63707', '63726', '63710', '63708']","['63712', '63714', '63732', '63736']",['63770'],"['63521', '63527']","['63551', '63515', '63555']",['63541'],"['63511', '63555', '63530']"
63190102,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']",,,,,,,,,,
63190103,"['63203', '63204', '63205', '63277', '63202']","['63212', '63278', '63209', '63215', '63207']","['63205', '63218']","['63278', '63215', '63207']","['63213', '63279', '63218', '63208', '63283']","['63280', '63220', '63216', '63217']","['63249', '63214', '63255', '63226', '63283']","['63281', '63252', '63256', '63271', '63253', '63262']",['63283'],['63281'],,['63281']
63190104,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63709', '63707', '63708']","['63711', '63712', '63719', '63714', '63720']","['63725', '63721', '63723', '63765', '63724']","['63742', '63732', '63741', '63735', '63713', '63739']",['63770'],"['63506A', '63519', '63565', '63564', '63520']","['63566', '63510', '63545B', '63567']","['63563', '63507', '63514']","['63561', '63566', '63560', '63543']",,
63190105,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63248', '63218', '63283']","['63280', '63216', '63217', '63220']","['63266', '63255', '63267', '63214']","['63281', '63250', '63268', '63271', '63256', '63251']",,['63281'],"['63521', '63527', '63519']","['63551', '63515']","['63550', '63541']","['63553', '63551']"
63190106,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']",['63202'],"['63212', '63209', '63215', '63207']",,,['63202'],['63207'],,,,
63190107,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63218']","['63212', '63278', '63207', '63217']","['63213', '63279', '63218', '63208', '63283']",['63220'],"['63264', '63260', '63214', '63261', '63257']","['63281', '63256', '63259', '63271', '63258']","['63214', '63261', '63260']","['63259', '63258', '63281']",,
63190108,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63218', '63283']","['63280', '63216', '63217', '63220']","['63254', '63264', '63270', '63214', '63261']","['63263', '63262', '63265', '63256', '63281']",,"['63281', '63263']","['63528', '63506', '63521', '63550', '63506A', '63523', '63527']","['63530', '63553', '63511', '63551']","['63506', '63514', '63512', '63541']","['63543', '63509']"
63190109,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63218', '63283']","['63280', '63219', '63216', '63217', '63220']","['63254', '63269', '63270', '63214', '63261']","['63262', '63271', '63287', '63256', '63281']",,['63281'],"['63528', '63506', '63521', '63550', '63506A', '63523', '63527']","['63530', '63553', '63511', '63551']","['63514', '63554']","['63552', '63555', '63546J']"
63190110,"['63702', '63705', '63703', '63701', '63704']","['63710', '63706', '63709', '63707', '63708']","['63711', '63713', '63719', '63717', '63714', '63720']","['63725', '63723', '63728', '63722']","['63768', '63740', '63738', '63735', '63732', '63736']",['63770'],,['63770'],,,,
63190111,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63712', '63719', '63715', '63720']","['63721', '63723', '63268', '63765', '63724']","['63732', '63741', '63740', '63735', '63713', '63739']",['63770'],,['63770'],,,,
63190112,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63712', '63715', '63714', '63744']","['63725', '63721', '63723', '63726', '63278']","['63248', '63716', '63734', '63768', '63713', '63732']","['63770', '63278']",,"['63770', '63278']",,,,
63190113,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63719', '63716', '63714', '63720']","['63725', '63727', '63721', '63723', '63765']","['63742', '63732', '63741', '63735', '63713', '63739']",['63770'],,['63770'],,['63770'],"['63507', '63506', '63554', '63514', '63506A', '63550']","['63510', '63508', '63552', '63555', '63557']"
63190114,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63218', '63283']","['63217', '63216', '63280', '63219']","['63283', '63204', '63208']","['63280', '63216']","['63266', '63267', '63260', '63214', '63738', '63283']","['63281', '63256', '63251', '63265', '63268']",['63283'],['63281'],,
63190115,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63283', '63218']","['63278', '63216', '63207']",['63737'],"['63280', '63278', '63220', '63217']","['63266', '63270', '63269', '63267', '63214']","['63281', '63220', '63287', '63256', '63250', '63271']",,['63281'],,
63190116,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63283', '63204']","['63278', '63209', '63207']","['63218', '63213', '63208']","['63280', '63216', '63217']","['63249', '63270', '63269', '63214', '63254']","['63281', '63287', '63256', '63250', '63271']","['63506', '63554', '63507', '63550', '63506A', '63514']","['63508', '63557', '63552', '63561', '63555']","['63519', '63520', '63527']","['63545B', '63561', '63510']"
63190117,"['63704', '63702', '63701', '63705', '63703']","['63707', '63706', '63709', '63710', '63708']","['63711', '63712', '63749B', '63713', '63716', '63714']","['63725', '63727', '63721', '63723']","['63711', '63704']",,"['63768', '63717', '63735', '63732', '63736', '63767A']",['63770'],,['63770'],,
63190118,"['63704', '63702', '63701', '63705', '63703']","['63707', '63706', '63709', '63710', '63708']","['63705', '63704']","['63710', '63709', '63708']",['63704'],"['63709', '63710']","['63711', '63718', '63716', '63717', '63719']","['63744', '63710', '63727', '63723', '63728', '63729']",,,,
63190119,"['63704', '63702', '63701', '63705', '63703']","['63707', '63706', '63709', '63710', '63708']","['63711', '63705', '63704']","['63710', '63709']","['63248', '63715', '63714', '63720']","['63744', '63765', '63721', '63723', '63725']","['63741', '63768', '63719', '63712', '63732', '63713']",['63770'],,['63770'],,
